maze,planner,feasible,n_edges,n_turns,n_waypoints,path_length,path_length_cells,plan_time_s,raw_waypoints,success,total_turn_deg,trajectory_distance,tree_size
small_maze,rrt_smooth,,,0,12,9.967471155517106,9.967471155517106,0.0066678524017333984,23,True,0.0,,
small_maze,rrt_smooth_bangbang,False,14,4,15,inf,inf,0.022291183471679688,,True,285.5785512910086,12.25862111644851,
small_maze,bangbang_rrt,,16,10,17,3.6529597040765474,10.45555274481148,2.9644339084625244,,True,514.7598142640297,,1330
corridor,rrt_smooth,,,0,10,20.2108761242273,20.2108761242273,0.009851932525634766,49,True,10.438437306127726,,
corridor,rrt_smooth_bangbang,False,12,5,13,inf,inf,0.005131721496582031,,True,239.82580197069083,19.422476310841706,
corridor,bangbang_rrt,,30,22,31,6.933424274453901,21.250757897620893,5.532464027404785,,True,901.1890206138555,,2269
open_field,rrt_smooth,,,1,9,18.726976981827516,18.726976981827516,0.003248929977416992,44,True,51.986705129216176,,
open_field,rrt_smooth_bangbang,False,8,0,9,inf,inf,0.00440526008605957,,True,2.0427447218309713,18.75800447018723,
open_field,bangbang_rrt,,31,25,32,6.534424553147849,20.42469869389209,5.797374963760376,,True,1141.4827376498938,,2398
spiral,rrt_smooth,,,6,24,16.209168161381026,16.209168161381026,0.05005812644958496,42,True,322.6812688954932,,
spiral,rrt_smooth_bangbang,False,24,10,25,inf,inf,0.05520319938659668,,True,497.4151756052523,15.662618009515725,
spiral,bangbang_rrt,,58,44,59,12.955809678773479,41.94131489987627,2.1258270740509033,,True,1770.1504956582553,,962
narrow,rrt_smooth,,,3,13,21.882407407567875,21.882407407567875,0.008332014083862305,52,True,79.90658513121882,,
narrow,rrt_smooth_bangbang,False,14,4,15,inf,inf,0.027515888214111328,,True,143.41695085016005,19.225210487253452,
narrow,bangbang_rrt,,32,22,33,7.520136117323304,23.959401325525512,3.8190720081329346,,True,1175.1132463985523,,1684
